ID;estu_tipodocumento;cole_area_ubicacion;cole_bilingue;cole_depto_ubicacion;cole_genero;cole_jornada;cole_naturaleza;estu_genero;estu_nacionalidad;fami_cuartoshogar;fami_educacionmadre;fami_educacionpadre;fami_estratovivienda;fami_personashogar;fami_tieneautomovil;fami_tienecomputador;fami_tieneinternet;fami_tienelavadora;desemp_ingles;Respuesta
9560;TI;RURAL;N;Region Andina;MIXTO;COMPLETA;OFICIAL;M;COLOMBIA;;Secundaria (Bachillerato) incompleta;Primaria incompleta;Estrato 3;;;;Si;;A1;punt_ingles
9561;TI;URBANO;N;Region Caribe;MIXTO;TARDE;OFICIAL;M;COLOMBIA;Dos;Tecnica o tecnologica completa;Tecnica o tecnologica completa;Estrato 2;1 a 2;No;No;Si;Si;A-;punt_c_naturales
9562;TI;URBANO;N;Region Andina;MIXTO;UNICA;OFICIAL;M;COLOMBIA;Tres;Secundaria (Bachillerato) completa;Secundaria (Bachillerato) completa;Estrato 2;5 a 6;No;Si;Si;Si;A1;punt_ingles
9563;TI;URBANO;N;Region Caribe;MIXTO;TARDE;OFICIAL;M;COLOMBIA;Uno;Secundaria (Bachillerato) completa;Secundaria (Bachillerato) completa;Estrato 1;3 a 4;No;No;No;Si;A2;punt_sociales_ciudadanas
9564;TI;URBANO;N;Region Caribe;MIXTO;UNICA;OFICIAL;M;COLOMBIA;Dos;Secundaria (Bachillerato) completa;Secundaria (Bachillerato) completa;Estrato 2;1 a 2;No;No;No;No;A-;punt_matematicas
9565;CC;RURAL;N;;MIXTO;SABATINA;OFICIAL;M;COLOMBIA;Dos;Primaria completa;Primaria incompleta;Estrato 1;3 a 4;No;No;Si;Si;A-;punt_ingles
9566;TI;URBANO;N;;MIXTO;MANANA;NO OFICIAL;M;COLOMBIA;Uno;Educacion profesional completa;Secundaria (Bachillerato) incompleta;Estrato 4;3 a 4;Si;Si;Si;Si;B1;punt_matematicas
9567;TI;URBANO;N;;MIXTO;TARDE;OFICIAL;M;COLOMBIA;Tres;Educacion profesional completa;Secundaria (Bachillerato) completa;Estrato 3;5 a 6;No;Si;Si;Si;A-;punt_lectura_critica
9568;TI;RURAL;;Region Andina;MIXTO;COMPLETA;OFICIAL;M;COLOMBIA;Dos;Primaria incompleta;Primaria completa;Estrato 2;5 a 6;Si;No;Si;Si;A-;punt_ingles
9569;CC;URBANO;N;;MIXTO;NOCHE;OFICIAL;M;COLOMBIA;Dos;Secundaria (Bachillerato) completa;Secundaria (Bachillerato) completa;Estrato 1;3 a 4;No;Si;Si;Si;A-;punt_sociales_ciudadanas
9570;TI;URBANO;N;Region Andina;MIXTO;MANANA;OFICIAL;F;COLOMBIA;Dos;Primaria completa;Primaria completa;Estrato 5;7 a 8;Si;No;Si;Si;A-;punt_matematicas
9571;TI;URBANO;N;;MIXTO;UNICA;OFICIAL;F;COLOMBIA;Cuatro;Primaria incompleta;Primaria incompleta;Estrato 3;5 a 6;No;No;Si;No;A-;punt_ingles
9572;TI;URBANO;N;;MIXTO;TARDE;OFICIAL;F;COLOMBIA;Tres;Secundaria (Bachillerato) incompleta;Primaria incompleta;Estrato 2;5 a 6;No;Si;Si;Si;A1;punt_ingles
9573;TI;URBANO;N;Region Andina;MIXTO;UNICA;OFICIAL;M;COLOMBIA;Tres;Educacion profesional completa;Secundaria (Bachillerato) incompleta;Estrato 3;3 a 4;Si;Si;Si;Si;A1;punt_lectura_critica
9574;CC;URBANO;N;;MIXTO;NOCHE;OFICIAL;F;COLOMBIA;Uno;No sabe;Ninguno;Estrato 3;3 a 4;No;No;No;No;A-;punt_matematicas
9575;TI;RURAL;N;Region Caribe;MIXTO;UNICA;OFICIAL;F;COLOMBIA;Tres;Secundaria (Bachillerato) incompleta;Secundaria (Bachillerato) incompleta;Sin Estrato;5 a 6;No;Si;Si;No;A-;punt_c_naturales
9576;TI;URBANO;N;Region Orinoquia;MIXTO;COMPLETA;NO OFICIAL;M;COLOMBIA;Tres;Educacion profesional incompleta;Postgrado;Estrato 6;3 a 4;Si;Si;Si;Si;B1;punt_sociales_ciudadanas
9577;TI;URBANO;N;Region Andina;MIXTO;UNICA;OFICIAL;M;COLOMBIA;Uno;Tecnica o tecnologica incompleta;Tecnica o tecnologica completa;Estrato 3;3 a 4;No;No;Si;Si;A1;punt_sociales_ciudadanas
9578;TI;URBANO;N;Region Andina;MIXTO;MANANA;OFICIAL;F;COLOMBIA;Dos;Primaria incompleta;No sabe;Estrato 1;3 a 4;No;No;No;Si;A-;punt_sociales_ciudadanas
9579;TI;URBANO;N;Region Andina;MIXTO;COMPLETA;NO OFICIAL;F;COLOMBIA;Dos;Tecnica o tecnologica completa;Educacion profesional completa;Estrato 4;3 a 4;Si;Si;Si;Si;A2;punt_sociales_ciudadanas
9580;TI;RURAL;;Region Caribe;MIXTO;MANANA;OFICIAL;F;COLOMBIA;Dos;Secundaria (Bachillerato) completa;Secundaria (Bachillerato) completa;Sin Estrato;5 a 6;No;No;Si;No;A-;punt_lectura_critica
9581;TI;URBANO;N;;MIXTO;MANANA;OFICIAL;F;COLOMBIA;;Primaria incompleta;Tecnica o tecnologica incompleta;Estrato 1;;;;Si;;B1;punt_sociales_ciudadanas
