cole_depto_ubicacion;periodo;average_column;Anio;Prueba
ARAUCA;20162;255.9066575;2016;2
ATLANTICO;20171;330.5658466;2017;1
BOLIVAR;20224;229.8033956;2022;4
BOLIVAR;20172;238.3718998;2017;2
CALDAS;20194;246.1349511;2019;4
CASANARE;20194;247.0706357;2019;4
CUNDINAMARCA;20142;255.5366104;2014;2
META;20172;257.5446932;2017;2
HUILA;20181;224.1170213;2018;1
LA GUAJIRA;20171;313.5102041;2017;1
AMAZONAS;20224;215.5006075;2022;4
CORDOBA;20152;238.6155027;2015;2
NARIÃ‘O;20152;250.3095046;2015;2
VICHADA;20142;233.5130435;2014;2
TOLIMA;20224;244.6018713;2022;4
SUCRE;20181;191.0909091;2018;1
SUCRE;20162;248.0052385;2016;2
CAUCA;20161;305.6503165;2016;1
MAGDALENA;20211;330.3908046;2021;1
GUAVIARE;20172;235.7549947;2017;2
CASANARE;20201;220;2020;1
GUAINIA;20151;212.1538462;2015;1
MAGDALENA;20142;228.5243684;2014;2
ANTIOQUIA;20201;279.8307692;2020;1
CALDAS;20201;309.1265823;2020;1
HUILA;20224;254.5272382;2022;4
CHOCO;20151;195.8888889;2015;1
CUNDINAMARCA;20194;254.5145888;2019;4
SUCRE;20172;246.7036827;2017;2
CUNDINAMARCA;20211;315.3916146;2021;1
SAN ANDRES;20162;247.2989691;2016;2
SANTANDER;20171;376.3655914;2017;1
MAGDALENA;20162;233.4397203;2016;2
VALLE;20151;281.5973027;2015;1
CALDAS;20162;256.2058797;2016;2
CESAR;20172;247.0030254;2017;2
NARIÃ‘O;20171;312.2842105;2017;1
CAUCA;20171;299.3647059;2017;1
CESAR;20151;234.5421687;2015;1
SANTANDER;20201;302.0459184;2020;1
CORDOBA;20191;345.5;2019;1
TOLIMA;20211;232.1954023;2021;1
GUAVIARE;20151;217.125;2015;1
BOGOTA;20172;273.6175939;2017;2
CASANARE;20142;248.0969929;2014;2
RISARALDA;20172;259.7550231;2017;2
VALLE;20201;288.6190549;2020;1
NORTE SANTANDER;20201;223.0984848;2020;1
META;20224;252.8828844;2022;4
SUCRE;20151;206.4545455;2015;1
MAGDALENA;20194;221.6219292;2019;4
CESAR;20142;240.504178;2014;2
CAQUETA;20172;244.4224724;2017;2
TOLIMA;20194;240.8130738;2019;4
CHOCO;20152;215.7997534;2015;2
VALLE;20181;292.8859321;2018;1
PUTUMAYO;20162;247.5885727;2016;2
CASANARE;20172;255.3692765;2017;2
CAUCA;20201;285.1826793;2020;1
MAGDALENA;20181;310.7891892;2018;1
CORDOBA;20224;238.2867914;2022;4
BOGOTA;20142;268.3792015;2014;2
QUINDIO;20162;257.7891404;2016;2
NORTE SANTANDER;20151;219.1509434;2015;1
SANTANDER;20142;258.6632502;2014;2
BOLIVAR;20162;240.5251598;2016;2
BOYACA;20142;258.3598268;2014;2
ANTIOQUIA;20191;335.3252788;2019;1
VAUPES;20162;219.936;2016;2
META;20201;213.6589147;2020;1
ARAUCA;20181;214;2018;1
TOLIMA;20201;221.9342105;2020;1
CAQUETA;20151;216.5757576;2015;1
CAQUETA;20181;208.21875;2018;1
VALLE;20191;297.6928506;2019;1
ARAUCA;20194;242.060686;2019;4
NORTE SANTANDER;20181;224.3709677;2018;1
VICHADA;20152;237.7398721;2015;2
CAUCA;20224;231.1072001;2022;4
CESAR;20161;349.0714286;2016;1
CHOCO;20172;215.3508813;2017;2
CAQUETA;20194;233.0687513;2019;4
CAQUETA;20142;239.1021972;2014;2
CUNDINAMARCA;20161;348.1036585;2016;1
CAUCA;20181;286.7287559;2018;1
PUTUMAYO;20181;215.6842105;2018;1
LA GUAJIRA;20162;231.8298067;2016;2
CAUCA;20152;231.8952454;2015;2
CHOCO;20224;206.1000415;2022;4
CASANARE;20211;220.7777778;2021;1
GUAINIA;20172;248.3157895;2017;2
RISARALDA;20201;294.3502304;2020;1
RISARALDA;20224;255.0054809;2022;4
LA GUAJIRA;20151;260.6436782;2015;1
ANTIOQUIA;20162;256.7420309;2016;2
ATLANTICO;20162;252.3848171;2016;2
BOYACA;20162;270.8950713;2016;2
RISARALDA;20194;250.5415852;2019;4
ANTIOQUIA;20181;289.5808642;2018;1
ARAUCA;20172;253.2005929;2017;2
BOLIVAR;20161;359.0559441;2016;1
AMAZONAS;20142;225.5888112;2014;2
CALDAS;20211;305.8181818;2021;1
CESAR;20211;258.8965517;2021;1
SAN ANDRES;20224;237.3830156;2022;4
CORDOBA;20171;323.28;2017;1
QUINDIO;20151;253.2051282;2015;1
SUCRE;20194;235.8727589;2019;4
TOLIMA;20142;245.2901693;2014;2
CUNDINAMARCA;20181;306.7153558;2018;1
GUAVIARE;20194;224.0335637;2019;4
GUAINIA;20152;242.0102041;2015;2
CALDAS;20151;270.9782082;2015;1
CASANARE;20151;225.0379747;2015;1
ARAUCA;20201;227.7272727;2020;1
HUILA;20194;249.6786774;2019;4
BOLIVAR;20142;233.8890156;2014;2
ANTIOQUIA;20151;240.4600939;2015;1
MAGDALENA;20151;272.32;2015;1
VICHADA;20224;217.909688;2022;4
ATLANTICO;20152;243.6737946;2015;2
QUINDIO;20194;251.8893189;2019;4
NORTE SANTANDER;20152;252.920938;2015;2
RISARALDA;20142;253.4484614;2014;2
CESAR;20194;238.4403919;2019;4
HUILA;20151;223.9551282;2015;1
VICHADA;20172;237.6949891;2017;2
AMAZONAS;20172;226.6284024;2017;2
CORDOBA;20161;329.7647059;2016;1
BOGOTÃ;20194;265.8074109;2019;4
CAUCA;20142;233.8043431;2014;2
CORDOBA;20194;235.7526812;2019;4
BOLIVAR;20152;231.9430478;2015;2
LA GUAJIRA;20172;231.6807332;2017;2
CASANARE;20152;250.2859604;2015;2
AMAZONAS;20152;220.5900846;2015;2
VICHADA;20162;238.15625;2016;2
PUTUMAYO;20224;239.7007732;2022;4
VAUPES;20224;213.6682028;2022;4
ANTIOQUIA;20152;247.7261635;2015;2
HUILA;20162;259.0879523;2016;2
CAUCA;20151;257.672089;2015;1
MAGDALENA;20171;324.6067416;2017;1
MAGDALENA;20224;227.5048918;2022;4
VALLE;20224;247.909375;2022;4
BOGOTA;20181;316.4625551;2018;1
CASANARE;20162;257.9267286;2016;2
META;20152;253.8599178;2015;2
VAUPES;20194;209.6505682;2019;4
MAGDALENA;20201;305.8734177;2020;1
ATLANTICO;20172;248.844359;2017;2
ATLANTICO;20142;245.1319392;2014;2
QUINDIO;20152;251.2955401;2015;2
VALLE;20211;290.1785966;2021;1
CUNDINAMARCA;20191;340.1408046;2019;1
META;20151;226.634188;2015;1
VAUPES;20172;221.7526042;2017;2
CALDAS;20191;333.8370787;2019;1
BOLIVAR;20201;325.9141414;2020;1
CALDAS;20161;341.1909548;2016;1
QUINDIO;20171;348.6666667;2017;1
PUTUMAYO;20211;218.8;2021;1
CORDOBA;20181;310.4444444;2018;1
PUTUMAYO;20172;246.554535;2017;2
BOGOTA;20151;287.3402532;2015;1
LA GUAJIRA;20224;221.4863427;2022;4
